,created_datetime,last_modified_datetime,product_name,generic_name,quantity,serving_size,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,main_category_en,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g
10338,2015-01-19 08:33:58+00:00,2015-08-09 17:35:47+00:00,Pepsi Max,zero calorie cola,2 L,12 fl. oz (355 mL),c,unknown,unknown,Diet-colas,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
16154,2016-08-16 19:25:43+00:00,2016-08-16 20:22:35+00:00,Heinen's Organic Unsweetened With Lemon  Iced Tea ,Unsweetened Iced Tea With Lemon,16 OZ (473 mL),8 fl. oz. (237 mL),b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.422,0.0,,,0.0
21767,2016-11-20 17:47:17+00:00,2017-04-06 16:09:34+00:00,Morton Iodized Salt,iodized salt,26 oz,1.5 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
23901,2016-11-05 05:38:12+00:00,2016-11-05 06:05:17+00:00,Fritos,Fritos`,28.3 g ,,c,Salty snacks,Appetizers,Salty snacks,0.0,10.0,1.5,,,,,,,,16.0,0.0,,1.0,2.0
51836,2015-01-19 08:26:37+00:00,2017-03-09 14:35:38+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (240 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
61035,2015-01-19 08:29:00+00:00,2016-11-25 14:32:57+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (237 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
68088,2016-04-15 01:04:19+00:00,2016-04-15 01:40:04+00:00,Sour Cream,Sour Cream,500mL,30mL,c,Milk and dairy products,Milk and yogurt,Dairies,0.0,15.0,8.33,,,,,,0.333,0.0333,6.67,3.33,,0.0,3.33
120737,2015-08-24 07:41:09+00:00,2015-08-24 07:50:28+00:00,Rose Water,Rosenwasser,300 ml,15 ml,b,unknown,unknown,de:Rosenwasser,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
142069,2015-01-19 08:25:45+00:00,2015-01-30 19:20:50+00:00,Perrier,Sparkling Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,8 fl. oz (240 mL),a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
178049,2016-03-18 15:11:09+00:00,2016-03-18 15:33:46+00:00,Hayat Su,Danone,"0,50 l",0.50 l,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
179429,2013-04-25 11:39:12+00:00,2017-08-07 17:06:54+00:00,Sel fin,Sel de table extra fin,750g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
179731,2015-05-21 20:02:16+00:00,2016-12-22 11:17:04+00:00,Jodsalz fein,Speisesalz,500g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
180247,2014-03-04 15:20:54+00:00,2017-09-02 13:54:23+00:00,Kania Poivres mélanges,Pfeffer bund,35g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
183169,2016-09-16 16:26:08+00:00,2017-08-29 12:33:44+00:00,Sel fin de Guérande,Sel marin gris alimentaire,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
185738,2015-06-04 06:21:36+00:00,2016-12-22 11:16:19+00:00,Jodsalz mit Fluorid,Jodiertes Speisesalz mit Zusatz von Fluorid,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
188310,2015-06-22 07:28:15+00:00,2017-07-29 20:23:36+00:00,Source Faustine saveur Citron-Citron Vert,Eau minérale gazeuse,"1,25",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
188311,2012-09-16 12:35:06+00:00,2017-04-01 09:33:20+00:00,Eau de source Arcens,Eau Minérale Naturelle renforcée au gaz de la source,1.25l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
188318,2015-08-21 10:16:38+00:00,2017-06-11 20:19:16+00:00,Eau Minérale Naturelle Chambon,Eau minéral naturelle,"6 x 0,5 L",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
190768,2013-04-25 11:35:25+00:00,2017-03-20 10:55:12+00:00,Coca-Cola zéro,boisson gazeuse,1 l,,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
191059,2015-01-05 09:56:39+00:00,2017-04-08 13:29:12+00:00,Jod-Salz,Jodiertes Siede-Speisesalz mit Zusatz von Fluorid,500 g,2g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
194739,2013-08-27 20:12:19+00:00,2017-03-30 15:44:30+00:00,Maille - Vinaigre de vin aromatisé - Noix,Vinaigre de vin aromatisé noix,50 cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,,0.0,,,,,,,,,2.0,,0.0,0.0
196642,2012-09-27 12:43:16+00:00,2017-08-25 13:41:11+00:00,Eau minérale naturelle Vittel,Eau minérale naturelle,50 cl,1 l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
196643,2013-01-12 19:07:59+00:00,2017-06-28 20:58:42+00:00,Abatilles - Saintes Anne,eau minerale naturelle,1.5L,1L,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
196866,2013-04-17 21:45:07+00:00,2017-09-12 09:57:45+00:00,Volvic,Eau Minérale Naturelle ,50 cl,1 L,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
196881,2013-12-27 18:33:51+00:00,2017-02-25 20:22:34+00:00,Eau Volvic,Eau minérale naturelle ,"1,5 L",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
196882,2014-12-23 21:29:36+00:00,2017-09-09 18:14:31+00:00,"Eau plate volvic 1,5 L",Eau minérale naturelle,1.5 L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
197460,2012-05-20 12:46:44+00:00,2017-07-28 17:37:41+00:00,Evian 1.5L,eau minérale,1.5 L,1 L,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
197462,2013-10-18 10:15:07+00:00,2017-08-21 13:49:06+00:00,Evian,Eau minéral naturelle,50 cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
197464,2013-08-14 18:56:45+00:00,2017-08-19 10:13:18+00:00,Evian 33cl,eau minérale naturelle,"33 cl, 0,33 л",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
197468,2013-04-16 17:18:19+00:00,2017-05-30 18:46:05+00:00,Evian,Eau minérale,50 cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
197475,2015-03-19 16:10:17+00:00,2017-04-22 09:36:52+00:00,Badoit Citron,"Boisson pétillante à l'eau minérale naturelle, à l'arôme naturel de citron",1 Litre,250 ml,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
197477,2015-09-04 07:20:52+00:00,2017-08-01 12:22:23+00:00,Menthe,"Boisson pétillante à l'eau minérale naturelle, à l'arôme naturel de menthe",1 Litre,250 ml,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
197518,2016-01-02 06:43:44+00:00,2017-07-13 15:30:34+00:00,Eau minérale naturelle,Eau minérale naturelle avec adjonction de gaz carbonique,1 L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
197523,2016-04-13 18:01:24+00:00,2017-09-06 09:34:21+00:00,La Salvetat,Eau,1.25 l,1 l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
197537,2014-09-20 21:34:35+00:00,2017-08-28 17:28:33+00:00,La Salvetat Citron,Boisson à l'eau minérale naturelle pétillante à l'arôme naturel de citron - sans sucres,"1,25 l",250 ml,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
199529,2014-11-03 11:40:06+00:00,2017-08-16 07:31:39+00:00,St-Yorre,Eau minérale naturelle gazeuse,50 cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
202154,2016-02-23 20:12:38+00:00,2017-05-28 16:06:02+00:00,Saint-amand eau minérale naturelle petillante,Saint-amand eau minérale naturelle petillante,Bouteille 1L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
202229,2016-09-22 18:19:26+00:00,2017-08-31 11:39:09+00:00,Sensation Anis,Boisson aux extraits naturels d'anis,1 L,2.5 cl,b,Beverages,Non-sugared beverages,Beverages,0.0,0.08,0.01,,,,,,,,1.0,1.0,,0.0,0.5
202316,2013-07-21 16:16:26+00:00,2017-02-20 09:14:31+00:00,Truvia,Édulcorant de table à base de glycosides de stéviol,270 g,,b,unknown,unknown,Plant-based foods and beverages,0.0,0.0,0.0,,,,,,,,99.0,0.0,,0.0,0.0
202370,2013-08-27 15:47:01+00:00,2017-08-03 12:01:44+00:00,L'instant marin - Sel de mer fin iodé,Sel de table,500 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
202548,2013-12-16 20:46:59+00:00,2017-09-13 21:49:29+00:00,Cannelle Moulue,Cannelle moulue,39 g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
202625,2013-02-09 15:13:03+00:00,2017-04-18 13:27:15+00:00,Le noir,Poivre noir moulu,38 g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
202740,2016-04-23 17:51:20+00:00,2017-06-26 18:17:27+00:00,Moulin 5 Baies,Poivre doux 5 baies,24 g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
204771,2012-06-13 13:28:44+00:00,2017-08-23 12:25:32+00:00,Arôme fleurs d'oranger,Arôme fleurs d'oranger,200 ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
204929,2014-02-25 13:49:55+00:00,2016-05-29 14:49:55+00:00,Eau Plancoët,Eau minérale naturelle,1.5 L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
204938,2013-04-25 11:44:22+00:00,2017-09-02 19:31:23+00:00,Eau minérale Contrex,Eau minérale naturelle ,1 l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
204943,2014-09-14 17:00:09+00:00,2017-07-28 08:38:14+00:00,Eau Perrier,Eau minérale naturelle renforcée au gaz de la source,50cl,50cl,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
204946,2012-06-18 08:31:42+00:00,2017-03-24 22:46:23+00:00,Eau gazeuse  Perrier fines bulles 1L,Eau minérale,1 L,,a,Beverages,Non-sugared beverages,Beverages,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0
205574,2013-05-08 07:00:19+00:00,2017-08-28 10:34:31+00:00,Sel de mer,Sel de mer,750 g,1g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205575,2013-07-12 13:01:45+00:00,2017-08-14 17:35:13+00:00,Sel moulu de Méditerranée,Sel de table Iodé,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205576,2013-08-05 10:56:05+00:00,2016-03-02 21:12:44+00:00,Sel fin iodé,Sel de table iodé,500 g,1 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205577,2017-02-17 12:36:28+00:00,2017-02-28 13:02:34+00:00,Sel Fin De Mer,Sel de mer iodé fin,1 kg e,1 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205578,2014-09-08 15:16:06+00:00,2017-05-29 15:23:55+00:00,Gros sel iodé La Baleine,"Sel de mer, Gros, Sel, Gros sel iodé, Sel",1 kg,100 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205579,2015-08-08 12:54:55+00:00,2015-12-13 13:03:45+00:00,"Sel Fin, Iodé","Sel de mer, fin, iodé",500 g,1 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205582,2012-10-23 19:05:35+00:00,2017-08-26 12:06:50+00:00,La Salière - Sel de Mer La Baleine,Sel fin iodé,125 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
205589,2013-02-11 20:08:04+00:00,2015-07-15 14:22:03+00:00,"Sel de mer, grands espaces",sel de table fin iodé et fluoré,500 g,1g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
205599,2012-11-14 12:05:27+00:00,2017-09-16 11:08:57+00:00,La Baleine - Sel de mer Grands espaces - Sel Fin (Iodé et Fluoré),Sel de mer iodé et fluoré,600 g,1 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
206785,2014-07-15 22:55:18+00:00,2017-07-15 11:58:47+00:00,Eau de source de montagne ALPES : Source ROCHE DES ECRINS,Eau de source de montagne des Alpes,"1,5 l",1 l,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
208838,2016-06-09 10:50:26+00:00,2017-08-08 18:52:21+00:00,Eau (en Bouteille),Boisson à base d'eau de source aux arômes naturels de citron-citron vert et de citron.,"1,5 L",,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
211413,2013-04-25 11:38:34+00:00,2017-03-04 12:04:25+00:00,Sel de Guérande,Sel moulu de Guérande,250 g,,c,unknown,unknown,Groceries,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0
211751,2012-07-01 12:17:35+00:00,2013-02-06 22:02:35+00:00,Carrefour Eau Saveur Citron sans sucres sans calorie,Eau citronnée,"1,5 l",200 ml,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
212332,2014-04-14 12:04:27+00:00,2017-08-07 21:47:07+00:00,Montclar - Eau minérale naturelle des Alpes,Eau minérale naturelle des Alpes,50 cl,1 l,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
212334,2013-03-23 15:14:54+00:00,2017-04-30 16:03:08+00:00,Eau minérale naturelle des Alpes,Eau minérale naturelle des Alpes,"1,5 L",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
214458,2013-08-22 08:51:28+00:00,2017-08-11 16:17:14+00:00,Eau minérale naturelle renforcée au gaz de la source,Eau minérale,1l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
215571,2016-08-26 16:58:39+00:00,2016-10-23 09:43:59+00:00,Eau de source Faustine aromatisée au citron,Eau de source aromatisée,"1,25 l",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
216968,2017-04-19 04:57:44+00:00,2017-07-05 18:55:32+00:00,Sainte-Marguerite saveur Citron,Boisson à l'eau minérale gazeuse aromatisée,"1,25 L",20 cl,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
217098,2014-11-03 12:04:08+00:00,2017-06-18 16:33:22+00:00,Vinaigre de vin aromatisé au jus d'échalote,vinaigre de vin,75 cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217264,2013-07-15 10:13:23+00:00,2016-06-01 02:13:01+00:00,Sel fin iodé,Sel,125 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
217269,2013-12-12 20:22:13+00:00,2016-10-06 16:34:15+00:00,Sel Fin iodé,Sel de table,1 kg,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217270,2015-01-04 12:28:00+00:00,2015-01-04 13:02:27+00:00,Gros Sel iodé,Sel,1 kg,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217271,2014-08-05 17:52:24+00:00,2015-01-04 17:59:21+00:00,Sel Fin iodé ,Sel de table,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217272,2014-12-26 11:56:12+00:00,2017-06-24 12:00:06+00:00,Sel Equilibre,Mélange de sels minéraux,350 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217276,2013-04-16 16:36:31+00:00,2017-07-06 10:52:42+00:00,Sel Fin iodé,Sel Fin iodé,500 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
217582,2013-10-16 11:20:57+00:00,2017-09-04 15:21:54+00:00,Cristaline pétillante,Eau de source avec adjonction de gaz carbonique,50 cl,50 cl,c,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
220186,2017-04-15 09:23:47+00:00,2017-04-22 17:20:35+00:00,Eau de Source de Montagne des Alpes,Source Roche des Écrins,50 cl,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
220188,2013-08-28 17:01:18+00:00,2017-08-15 01:07:34+00:00,Eau pétillante,Eau minérale naturelle renforcée au gaz de la source,1.25 l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
220200,2014-03-22 18:13:29+00:00,2014-03-23 14:38:31+00:00,Édulcorant à base d'extrait de stévia,Édulcorant de table en poudre à base de glycosides de stéviol,60 g,"1,5 g",b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,98.3,0.0,,0.0,0.0
221256,2017-08-30 07:05:43+00:00,2017-09-08 06:27:12+00:00,Extra Pétillante saveur Citron,Boisson à base d'eau minérale naturelle gazéifiée saveur citron,1 L,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
221886,2014-02-12 15:18:05+00:00,2017-08-30 14:10:41+00:00,Eau Minérale Naturelle Mont Roucous,Eau Minérale Naturelle,"1,5 L",,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
222559,2014-12-07 14:40:26+00:00,2017-09-10 19:46:23+00:00,Fleur de sel de Guérande,Fleur de sel,125 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
223140,2015-12-05 14:38:04+00:00,2015-12-05 14:54:43+00:00,Harmony 0 calories,Edulcorant de table en poudre à base de glycosides de steviol,60 g,"un stick (1,5 g)",b,unknown,unknown,Plant-based foods and beverages,0.0,0.0,0.0,,,,,,,,98.3,0.0,,0.0,0.0
225457,2012-11-24 00:30:39+00:00,2017-06-03 19:37:40+00:00,Sel fin,sel de table fin,1 kg,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
225458,2014-04-27 10:54:45+00:00,2017-08-25 14:02:48+00:00,Sel fin iodé - sel de mer,Sel de table iodé,250 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
225463,2015-07-04 07:26:46+00:00,2015-07-14 10:38:44+00:00,Bicarbonate alimentaire,Bicarbonate de sodium,400 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
226978,2016-04-09 18:18:58+00:00,2017-09-17 15:10:05+00:00,Nectar de Mangue,Nectar de mangue à base de purée,1 L e,200 mL,b,Beverages,Fruit nectars,Fruit juices and nectars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
226984,2016-05-28 09:56:41+00:00,2016-08-20 19:05:01+00:00,Oh! saveur citron - citron vert,Boisson à base d'eau de source aux arômes naturels de citron et de citron-citron vert,50 cl,20 cl,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
227022,2014-06-01 11:33:22+00:00,2017-05-28 12:55:52+00:00,Eau de Source de Montagne,La Montille,"1,5 L",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
227320,2015-03-15 11:21:57+00:00,2017-01-28 15:51:02+00:00,Eau aromatisée gazeuse citron-citron vert-verveine,Boisson à l'eau minérale gazeuse à l'arôme naturel de citron-citron vert-verveine,"1,25 L",,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
230269,2012-05-20 12:35:52+00:00,2017-09-07 20:54:58+00:00,Eau de source,Eau de source,50 cl,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
233380,2014-02-06 11:36:19+00:00,2017-07-12 19:01:34+00:00,Eau gazeuse,Eau gazeuse ,1.25l,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
234435,2015-01-29 22:28:32+00:00,2017-06-04 17:06:25+00:00,Agar-agar,Gélifiant Végétal,4 g,,b,unknown,unknown,Food additives,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
