,created_datetime,last_modified_datetime,product_name,generic_name,quantity,serving_size,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,main_category_en,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g
255738,2014-04-22 11:51:30+00:00,2017-06-28 02:47:35+00:00,Eau minérale naturelle naturellement gazeuse,Eau minérale naturelle naturellement gazeuse,50 cl,1 Litre,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
256352,2015-04-10 08:31:41+00:00,2015-12-12 16:17:46+00:00,Édulcorant extrait de stevia ,Édulcorant de table à base de glycosides de stéviol,40 g,1 g,b,unknown,unknown,Plant-based foods and beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
259015,2016-09-25 17:29:58+00:00,2017-06-27 17:08:02+00:00,Vinaigre de vin,Vinaigre de vin,75cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
259593,2013-02-21 17:08:07+00:00,2017-06-21 09:23:31+00:00,Eau de Source de Montagne,Eau de source de montagne source Laqueuille,1.5L,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
259608,2012-10-06 12:10:32+00:00,2017-06-02 17:38:30+00:00,Vinaigre Balsamique de Modène,vinaigre balsamique,50 cl,,b,Fat and sauces,Dressings and sauces,Vinegars,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
260612,2016-05-30 20:56:42+00:00,2017-05-29 19:55:28+00:00,Eau Minérale Naturelle Gazéifiée saveur Citron Vert,Eau minérale naturelle gazéifiée,1 l,20 cl,a,Beverages,Non-sugared beverages,Beverages,0.0,0.05,0.05,,,,,,,,0.1,0.1,,0.0,0.1
260884,2016-10-16 13:40:33+00:00,2017-05-10 16:51:34+00:00,Edulcorel Edulcorant en poudre à la base d'extrait de stévia,Edulcorant de table en poudre à base de glycosides de stéviol,250 g,"2,5 g",b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,99.3,0.0,,0.0,0.0
262131,2014-08-31 11:15:22+00:00,2017-03-17 19:30:26+00:00,Sel Fin de l'Île de Ré,Sel marin gris alimentaire,250 g e,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
264427,2013-07-26 17:43:20+00:00,2017-08-27 11:34:04+00:00,Moulin mélange 5 baies,Moulin mélange 5 baies,28 g,,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
265072,2015-04-09 19:22:28+00:00,2017-07-09 20:23:33+00:00,Planet Cola Zéro,Boisson gazéifiée à l'arôme naturel aux édulcorants,"1,5 l",20 cl,b,Beverages,Sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.5,0.0,,0.0,0.0
268741,2013-04-25 11:35:25+00:00,2017-08-20 17:14:06+00:00,"Edulcorant de table, à base d'aspartame",Edulcorant de table à base d'aspartame,"29,25 g (650 comprimés)",,b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
270037,2013-09-08 09:57:27+00:00,2017-08-23 16:55:30+00:00,Agua mineral natural,Agua mineral natural procedente del manantial Las Jaras,"1,5 l",1000 ml,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
270042,2013-06-23 18:42:05+00:00,2013-06-24 22:19:47+00:00,Nestlé Pureza Vital Sem Gás,Água Mineral Natural,510ml,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
273623,2017-09-08 09:30:25+00:00,2017-09-08 09:44:30+00:00,Yaourts de Normandie à l'ananas,Yaourts au lait entier à l'ananas,4 x 125 g (500 g),,b,Milk and dairy products,Milk and yogurt,Dairies,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
274404,2016-10-19 18:13:38+00:00,2017-06-03 19:43:47+00:00,Edulcorant poudre cristal,Edulcorant de table à base de sucralose,200g,0.5g (une cuillère à café rase),c,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,97.5,30.0,,,0.0
276597,2015-02-18 09:53:06+00:00,2017-08-14 07:51:36+00:00,Les authentiques sucrettes,Edulcorant de table à base de saccharine,21g,,b,unknown,unknown,Sweeteners,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
280125,2016-03-23 12:00:43+00:00,2016-03-23 12:10:45+00:00,Jodsalz + Fluorid,Jodiertes Speisesalz mit Zusatz von Fluorid,500 g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
280126,2015-07-19 09:27:34+00:00,2017-05-27 18:36:33+00:00,Marken JodSalz + Fluorid + Folsäure,Jodiertes Speisesalz mit Zusatz von Fluorid und Folsäure,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
280128,2016-06-01 14:39:03+00:00,2016-06-01 21:21:36+00:00,Meersalz mit Jod,Jodiertes Speisesalz,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
