,code,url,creator,created_t,created_datetime,last_modified_t,last_modified_datetime,product_name,generic_name,quantity,packaging,packaging_tags,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,labels_en,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,countries_en,ingredients_text,allergens,allergens_en,traces,traces_tags,traces_en,serving_size,no_nutriments,additives_n,additives,additives_tags,additives_en,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_uk,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,states,states_tags,states_en,main_category,main_category_en,image_url,image_small_url,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g
10338,12000018817,http://world-en.openfoodfacts.org/product/0012000018817/pepsi-max,tacinte,1421656438,2015-01-19 08:33:58+00:00,1439141747,2015-08-09 17:35:47+00:00,Pepsi Max,zero calorie cola,2 L,plastic bottle,plastic-bottle,Pepsi,pepsi,diet colas,en:diet-colas,Diet-colas,,,,,,,,,,,,,"San Francisco,California,USA",Safeway,United States,en:united-states,United States,"Carbonated Water, Caramel Color, Phosphoric acid, Aspartame, Potassium Benzoate (preserves freshness), Caffeine, Natural flavor, Acesulfame potassium, Citric acid, Calcium disodium EDTA (to protect flavor), Panax ginseng extract.",,,,,,12 fl. oz (355 mL),,7.0, [ carbonated-water -> en:carbonated-water  ]  [ water -> en:water  ]  [ caramel-color -> en:e150a  -> exists  -- ok  ]  [ phosphoric-acid -> en:e338  -> exists  -- ok  ]  [ aspartame -> en:e951  -> exists  -- ok  ]  [ potassium-benzoate -> en:e212  -> exists  -- ok  ]  [ preserves-freshness -> en:preserves-freshness  ]  [ freshness -> en:freshness  ]  [ caffeine -> en:caffeine  ]  [ natural-flavor -> en:natural-flavor  ]  [ flavor -> en:flavor  ]  [ acesulfame-potassium -> en:e950  -> exists  -- ok  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ calcium-disodium-edta -> en:e385  -> exists  -- ok  ]  [ to-protect-flavor -> en:to-protect-flavor  ]  [ protect-flavor -> en:protect-flavor  ]  [ flavor -> en:flavor  ]  [ panax-ginseng-extract -> en:panax-ginseng-extract  ]  [ ginseng-extract -> en:ginseng-extract  ]  [ extract -> en:extract  ] ,"en:e150a,en:e212,en:e330,en:e338,en:e385,en:e950,en:e951","E150a - Plain caramel,E212 - Potassium benzoate,E330 - Citric acid,E338 - Phosphoric acid,E385 - Calcium disodium ethylenediaminetetraacetate,E950 - Acesulfame k,E951 - Aspartame",0.0,,,0.0,,,,c,unknown,unknown,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",en:diet-colas,Diet-colas,http://en.openfoodfacts.org/images/products/001/200/001/8817/front.6.400.jpg,http://en.openfoodfacts.org/images/products/001/200/001/8817/front.6.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.847,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,
16154,20601407893,http://world-en.openfoodfacts.org/product/0020601407893/heinen-s-organic-unsweetened-with-lemon-iced-tea-heinen-s-iced-tea,openfoodfacts-contributors,1471375543,2016-08-16 19:25:43+00:00,1471378955,2016-08-16 20:22:35+00:00,Heinen's Organic Unsweetened With Lemon  Iced Tea ,Unsweetened Iced Tea With Lemon,16 OZ (473 mL),Bottle,bottle,Heinen's Iced Tea,heinen-s-iced-tea,Iced teas,"en:beverages,en:iced-teas,en:non-sugared-beverages","Beverages,Iced teas,Non-sugared beverages","China,Kenya","china,kenya",Canada,canada,USDA Organic,"en:organic,en:usda-organic","Organic,USDA Organic",,,,,,"Lake Bluff,Illinois,USA",Heinen's,United States,en:united-states,United States,"Filtered water, organic black tea, organic green tea essence, organic lemon flavor, citric acid.",,,,,,8 fl. oz. (237 mL),,1.0, [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ organic-black-tea -> en:organic-black-tea  ]  [ black-tea -> en:black-tea  ]  [ tea -> en:tea  ]  [ organic-green-tea-essence -> en:organic-green-tea-essence  ]  [ green-tea-essence -> en:green-tea-essence  ]  [ tea-essence -> en:tea-essence  ]  [ essence -> en:essence  ]  [ organic-lemon-flavor -> en:organic-lemon-flavor  ]  [ lemon-flavor -> en:lemon-flavor  ]  [ flavor -> en:flavor  ]  [ citric-acid -> en:e330  -> exists  -- ok  ] ,en:e330,E330 - Citric acid,0.0,,,0.0,,,,b,Beverages,Non-sugared beverages,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",en:beverages,Beverages,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,0.0,,,,,,,,,,0.0,,,,0.00536,0.00211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
21767,24600010030,http://world-en.openfoodfacts.org/product/0024600010030/morton-iodized-salt,yotann,1479664037,2016-11-20 17:47:17+00:00,1491494974,2017-04-06 16:09:34+00:00,Morton Iodized Salt,iodized salt,26 oz,Card,card,Morton,morton,"Groceries,Condiments,Salts,Table salts","en:groceries,en:condiments,en:salts,en:table-salts","Groceries,Condiments,Salts,Table salts",,,United States,united-states,,,,,,,,,United States,County Market,United States,en:united-states,United States,"salt, calcium silicate, dextrose, potassium iodide",,,,,,1.5 g,,1.0, [ salt -> en:salt  ]  [ calcium-silicate -> en:e552  -> exists  -- ok  ]  [ dextrose -> en:dextrose  ]  [ potassium-iodide -> en:potassium-iodide  ]  [ iodide -> en:iodide  ] ,en:e552,E552 - Calcium silicate,0.0,,,0.0,,,,c,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging-code-to-be-completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded",en:groceries,Groceries,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,99.9,39.3,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,10.0,10.0,,
23901,28400040037,http://world-en.openfoodfacts.org/product/0028400040037/fritos-fristo,hackathon,1478324292,2016-11-05 05:38:12+00:00,1478325917,2016-11-05 06:05:17+00:00,Fritos,Fritos`,28.3 g ,Plastic,plastic,Fristo,fristo,Corn chips,"en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips","Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips","Texas,USA","texas,usa",USA,usa,,,,,,,,,New York,Fritos,United States,en:united-states,United States,"Sodium 7%, Total carbohydrate 5%, Dietary Fiber 5%, Cholesterol 0%",,,"Corn,Corn oil, and salt","en:corn,en:corn-oil,en:and-salt","Corn,Corn-oil,And-salt",,,0.0, [ sodium-7 -> en:sodium-7  ]  [ 7 -> en:fd-c  ]  [ total-carbohydrate-5 -> en:total-carbohydrate-5  ]  [ carbohydrate-5 -> en:carbohydrate-5  ]  [ 5 -> en:fd-c  ]  [ dietary-fiber-5 -> en:dietary-fiber-5  ]  [ fiber-5 -> en:fiber-5  ]  [ 5 -> en:fd-c  ]  [ cholesterol-0 -> en:cholesterol-0  ]  [ 0 -> en:0  ] ,,,0.0,,,0.0,,,,c,Salty snacks,Appetizers,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded",en:salty-snacks,Salty snacks,,,0.0,,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,,,,,,,,,1.0,2.0,,2.0,,60.96,24.0,0.0,3e-05,,,,,0.0,,,,,,,,,,,,,,0.02,,0.0,,,,,,,,,,,,,,,,,,,10.0,10.0,,
51836,41508800129,http://world-en.openfoodfacts.org/product/0041508800129/s-pellegrino-san-pellegrino,tacinte,1421655997,2015-01-19 08:26:37+00:00,1489070138,2017-03-09 14:35:38+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,glass bottle,glass-bottle,"San Pellegrino,S.Pellegrino, Sanpellegrino,  Sanpellegrino S.P.A.","san-pellegrino,s-pellegrino,sanpellegrino,sanpellegrino-s-p-a","Beverages,Waters,Non-sugared beverages,Mineral Water,Sparkling Mineral Water,Sparkling Water","en:beverages,en:carbonated-drinks,en:waters,en:mineral-waters,en:carbonated-waters,en:non-sugared-beverages,en:sparkling-mineral-water","Beverages,Carbonated drinks,Waters,Mineral waters,Carbonated waters,Non-sugared beverages,Sparkling-mineral-water",,,Italy,italy,,,,,,,,,"San Francisco,California,USA",Safeway,United States,en:united-states,United States,Carbonated mineral water,,,,,,8 fl. oz (240 mL),,0.0, [ carbonated-mineral-water -> en:carbonated-mineral-water  ]  [ mineral-water -> en:mineral-water  ]  [ water -> en:water  ] ,,,0.0,,,0.0,,,,a,Beverages,Non-sugared beverages,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging-code-to-be-completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/004/150/880/0129/front.8.400.jpg,http://en.openfoodfacts.org/images/products/004/150/880/0129/front.8.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0106,0.00417,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0167,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,
61035,49283802185,http://world-en.openfoodfacts.org/product/0049283802185/s-pellegrino,tacinte,1421656140,2015-01-19 08:29:00+00:00,1480084377,2016-11-25 14:32:57+00:00,S.Pellegrino,Sparkling Natural Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,plastic bottle,plastic-bottle,"S.Pellegrino,San Pellegrino","s-pellegrino,san-pellegrino","Beverages,Waters,Non-sugared beverages,Mineral Water,Sparkling Mineral Water,Sparkling Water","en:beverages,en:carbonated-drinks,en:waters,en:mineral-waters,en:carbonated-waters,en:non-sugared-beverages,en:sparkling-mineral-water","Beverages,Carbonated drinks,Waters,Mineral waters,Carbonated waters,Non-sugared beverages,Sparkling-mineral-water",,,Italy,italy,,,,,,,,,"San Francisco,California,USA",Safeway,"United States, en:france","en:france,en:united-states","France,United States",Natural Mineral Water with natural CO2 added,,,,,,8 fl. oz (237 mL),,0.0, [ natural-mineral-water-with-natural-co2-added -> en:natural-mineral-water-with-natural-co2-added  ]  [ mineral-water-with-natural-co2-added -> en:mineral-water-with-natural-co2-added  ]  [ water-with-natural-co2-added -> en:water-with-natural-co2-added  ]  [ with-natural-co2-added -> en:with-natural-co2-added  ]  [ natural-co2-added -> en:natural-co2-added  ]  [ co2-added -> en:co2-added  ]  [ added -> en:added  ] ,,,0.0,,,0.0,,,,a,Beverages,Non-sugared beverages,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging-code-to-be-completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/004/928/380/2185/front.10.400.jpg,http://en.openfoodfacts.org/images/products/004/928/380/2185/front.10.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0107,0.00422,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0169,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,
68088,64420006271,http://world-en.openfoodfacts.org/product/0064420006271/sour-cream-sealtest,openfoodfacts-contributors,1460682259,2016-04-15 01:04:19+00:00,1460684404,2016-04-15 01:40:04+00:00,Sour Cream,Sour Cream,500mL,Plastic,plastic,Sealtest,sealtest,Sour Cream,"en:dairies,en:creams,en:sour-creams","Dairies,Creams,Sour creams",,,"Longeuil,QC,Markham,ON,Victoria,BC","longeuil,qc,markham,on,victoria,bc",,,,,,,,,"QC,Canada,Boisbriand",Costco,Canada,en:canada,Canada,"Cream, Milk, Modified milk ingredients, Modified corn starch, Guar gum, Carrageenan, Carob bean gum, Sodium citrate, Citric acid, Bacterial culture.",,,,,,30mL,,5.0, [ cream -> en:cream  ]  [ milk -> en:milk  ]  [ modified-milk-ingredients -> en:modified-milk-ingredients  ]  [ milk-ingredients -> en:milk-ingredients  ]  [ ingredients -> en:ingredients  ]  [ modified-corn-starch -> en:modified-corn-starch  ]  [ corn-starch -> en:corn-starch  ]  [ starch -> en:starch  ]  [ guar-gum -> en:e412  -> exists  -- ok  ]  [ carrageenan -> en:e407  -> exists  -- ok  ]  [ carob-bean-gum -> en:e410  -> exists  -- ok  ]  [ sodium-citrate -> en:e331  -> exists  -- ok  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ bacterial-culture -> en:bacterial-culture  ]  [ culture -> en:culture  ] ,"en:e330,en:e331,en:e407,en:e410,en:e412","E330 - Citric acid,E331 - Sodium citrates,E407 - Carrageenan,E410 - Locust bean gum,E412 - Guar gum",0.0,,,0.0,,,,c,Milk and dairy products,Milk and yogurt,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded",en:dairies,Dairies,http://en.openfoodfacts.org/images/products/006/442/000/6271/front.3.400.jpg,http://en.openfoodfacts.org/images/products/006/442/000/6271/front.3.200.jpg,0.0,,15.0,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.0333,6.67,3.33,,,,,,,,,0.0,3.33,,,,0.169,0.0667,0.0,0.0002,,,,,0.0,,,,,,,,,,,,,,0.0667,,0.0,,,,,,,,,,,,,,,,,,,6.0,6.0,,
120737,623695000256,http://world-en.openfoodfacts.org/product/0623695000256/rose-water-yamama,twoflower,1440402069,2015-08-24 07:41:09+00:00,1440402628,2015-08-24 07:50:28+00:00,Rose Water,Rosenwasser,300 ml,Glas,glas,Yamamä,yamama,Rosenwasser,de:rosenwasser,de:Rosenwasser,,,Libanon,libanon,Ohne Gentechnik,en:no-gmos,No GMOs,,,,,,,,Deutschland,en:germany,Germany,"Wasser, Rosenessenz",,,,,,15 ml,,0.0, [ wasser -> de:wasser  ]  [ rosenessenz -> de:rosenessenz  ] ,,,0.0,,,0.0,,,,b,unknown,unknown,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",de:rosenwasser,de:Rosenwasser,http://en.openfoodfacts.org/images/products/062/369/500/0256/front.7.400.jpg,http://en.openfoodfacts.org/images/products/062/369/500/0256/front.7.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
142069,7478545,http://world-en.openfoodfacts.org/product/07478545/perrier,tacinte,1421655945,2015-01-19 08:25:45+00:00,1422645650,2015-01-30 19:20:50+00:00,Perrier,Sparkling Mineral Water,25.3 fl. oz (1 pt 9.3 fl. oz) 750 mL,glass bottle,glass-bottle,Perrier,perrier,"Beverages,Waters,Non-sugared beverages,Mineral Water,Sparkling Mineral Water,Sparkling Water","en:beverages,en:carbonated-drinks,en:waters,en:mineral-waters,en:carbonated-waters,en:non-sugared-beverages,en:sparkling-mineral-water","Beverages,Carbonated drinks,Waters,Mineral waters,Carbonated waters,Non-sugared beverages,Sparkling-mineral-water",,,France,france,,,,,,,,,"San Francisco,California,USA",Safeway,United States,en:united-states,United States,sparkling water captured at source,,,,,,8 fl. oz (240 mL),,0.0, [ sparkling-water-captured-at-source -> en:sparkling-water-captured-at-source  ]  [ water-captured-at-source -> en:water-captured-at-source  ]  [ captured-at-source -> en:captured-at-source  ]  [ at-source -> en:at-source  ]  [ source -> en:source  ] ,,,0.0,,,0.0,,,,a,Beverages,Non-sugared beverages,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/07478545/front.8.400.jpg,http://en.openfoodfacts.org/images/products/07478545/front.8.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0167,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,
178049,2000000028980,http://world-en.openfoodfacts.org/product/2000000028980/hayat-su-danone,eraykarayel,1458313869,2016-03-18 15:11:09+00:00,1458315226,2016-03-18 15:33:46+00:00,Hayat Su,Danone,"0,50 l",Bottle,bottle,Danone,danone,Water,"en:beverages,en:waters,en:non-sugared-beverages","Beverages,Waters,Non-sugared beverages","İstanbul,Turkey","i̇stanbul,turkey",İstanbul Turkey,i̇stanbul-turkey,Organic,en:organic,Organic,,,,,,,a101,Turkey,en:turkey,Turkey,,,,,,,0.50 l,,,,,,,,,,,,,b,Beverages,Non-sugared beverages,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts completed,Ingredients to be completed,Expiration date completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/200/000/002/8980/front.3.400.jpg,http://en.openfoodfacts.org/images/products/200/000/002/8980/front.3.200.jpg,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
